Western Pacific Region,10.2,1.9,9.7,16.5,,68,95,87
Eastern Mediterranean Region,26.0,6.3,4.5,35.8,67,55,72,74
European Region,4.6,1.0,7.5,21.3,92,78,,97
South-East Asia Region,29.7,13.9,3.3,46.4,,49,76,73
Region of the Americas,9.9,0.7,9.1,18.3,81,66,,93
African Region,31.7,5.6,4.2,36.5,33,26,26,24
Global,23.2,6.6,5.5,30.7,73,57,75,74
Year Target Target Most recent estimate,2030 2024 Halve the number of stunted children,2030 2024 3,2030 2024 3,2030 2023 Reduce by 50%,2030 2022 99,2030 2022 99,2030 2022 99,2030 2023 99
