"HIV incidence rates,",Global,African Region,Region of the Americas,South-East Asia Region,European Region,Eastern Mediterranean Region,Western Pacific Region
Both sexes,0.17 (0.13-0.21),0.55 (0.41-0.73),0.16 (0.13-0.20),0.06 (0.04-0.08),0.18 (0.15-0.21),0.09 (0.07-0.12),0.07 (0.07-0.08)
Females,0.15 (0.11-0.19),0.68 (0.51-0.91),0.08 (0.06-0.10),0.04 (0.03-0.06),0.10 (0.09-0.12),0.04 (0.03-0.06),0.03 (0.02-0.03)
Males,0.18 (0.15-0.23),0.41 (0.31-0.56),0.24 (0.20-0.31),0.07 (0.06-0.10),0.25 (0.21-0.30),0.13 (0.10-0.18),0.12 (0.11-0.13)
